sensor,channel,scan_start,scan_end,signal_start,signal_end,execution_time,save_time
PA00,HHE,2021-09-16 01:20:00,2021-09-17 01:20:00,2021-09-16 14:42:48.11,2021-09-16 14:42:52.22,0.53,2025-04-21 14:56:47
PA00,HHE,2021-09-16 14:42:52,2021-09-19 01:20:00,2021-09-16 14:42:52.22,2021-09-19 01:20:00.0,0.7927,2025-04-21 14:59:20
PA02,HHE,2021-09-17 04:00:00,2021-09-20 23:59:59,2021-09-18 19:27:55.74,2021-09-20 23:59:59.0,0.7985,2025-04-23 16:04:29
PA02,HHE,2021-09-16 04:00:00,2021-09-18 19:27:55,2021-09-18 19:27:55.74,2021-09-18 19:27:55.74,0.3163,2025-04-23 16:11:07
PA00,HHN,2021-09-16 04:00:00,2021-09-20 23:59:59,2021-09-16 14:42:48.11,2021-09-20 23:59:59.0,0.5682,2025-04-23 16:22:36
PA00,HHE,2021-09-19 01:20:00,2021-09-20 23:59:59,2021-09-19 01:20:00.0,2021-09-20 23:59:59.0,0.6322,2025-04-23 16:33:51
PLPI,HHE,2021-09-01 00:00:00,2021-09-30 23:59:59,2021-09-01 00:00:00.0,2021-09-30 23:59:59.0,101.2152,2025-04-23 21:13:33
PLPI,HHN,2021-09-01 00:00:00,2021-09-30 23:59:59,2021-09-01 00:00:00.0,2021-09-30 23:59:59.0,101.1411,2025-04-23 21:13:33
PPMA,HHN,2021-09-01 00:00:00,2021-09-30 23:59:59,2021-09-01 00:00:00.0,2021-09-28 03:54:20.70,102.0562,2025-04-23 21:13:34
PPMA,HHE,2021-09-01 00:00:00,2021-09-30 23:59:59,2021-09-01 00:00:00.0,2021-09-28 03:54:20.82,102.212,2025-04-23 21:13:34
PPMA,HHZ,2021-09-01 00:00:00,2021-09-30 23:59:59,2021-09-01 00:00:00.0,2021-09-28 03:54:21.20,102.3635,2025-04-23 21:13:35
PLPI,HHZ,2021-09-01 00:00:00,2021-09-30 23:59:59,2021-09-01 00:00:00.0,2021-09-30 23:59:59.0,102.4913,2025-04-23 21:13:35
